,Carbon source 1 (category),Carbon source 1 (g/L),Carbon source 1 heat of combustion (kJ/mol),Carbon source 1 heat of combustion (kJ/g),Carbon source 2 (category),Carbon source 2 (g/L),Carbon source 2 heat of combustion (kJ/mol),Carbon source 2 heat of combustion (kJ/g),Product class,Product Gibbs energy of formation in Equilibrator,Number of carbon atoms in the product,Number of hydrogen atoms in the product,Number of oxygen atoms in the product,MW of product (g/mol),Fermentation time (h),Pathway enzymatic steps,ATP cost,NADH or NADPH cost,Reactor type,Cultivation volume (L),Medium type,Temperature,pH,Estimation of N2 levels,Genes modified,Genes deleted,Genes overexpressed,Heterologous genes,plot
3860,0.20930232558139533,0.008051529790660225,0.32269915847859026,0.9999999999999999,0.0,0.0,0.0,0.0,1.0,0.23744840067511236,0.0,0.0,0.024285714285714285,0.0,0.4173913043478261,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.8428571428571429,0.5097087378640777,0.3333333333333333,0.0,0.0,0.0,0.0,10.0
2797,0.023255813953488372,0.08051529790660225,0.007495068093663333,0.34718100890207715,0.0,0.0,0.0,0.0,0.6666666666666665,0.17573255790308479,0.07692307692307693,0.1509782207456626,0.19047619047619047,0.1402782568701851,0.1565217391304348,0.07142857142857142,0.0,0.0,0.0,0.00038850038850038855,0.5,0.7999999999999999,0.4174757281553398,0.3333333333333333,0.0,0.0,0.0,0.0,7.0
1737,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.2222222222222222,0.42127417288569863,0.23076923076923075,0.2617201919527501,0.0,0.15637576175692766,0.2608695652173913,0.3214285714285714,0.25,0.10438413361169102,0.0,0.00023310023310023313,1.0,0.8571428571428571,0.7281553398058253,0.6666666666666666,0.045454545454545456,0.0,0.06666666666666667,0.0625,3.0
1278,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.32899526201272955,0.7435897435897435,0.8892580287929126,0.09523809523809523,0.5082212257100149,0.3652173913043478,0.46428571428571425,0.75,0.33402922755741127,0.0,0.00038850038850038855,1.0,0.7999999999999999,0.0,0.6666666666666666,0.13636363636363635,0.0,0.06666666666666667,0.1875,4.0
242,0.16279069767441862,0.08051529790660225,0.018454383440231016,0.287833827893175,0.0,0.0,0.0,0.0,0.0,0.056672834861825644,0.12820512820512822,0.11406423034330013,0.3333333333333333,0.2207657813038979,0.2608695652173913,0.0,0.0,0.020876826722338204,0.0,0.00038850038850038855,0.0,0.7999999999999999,0.6601941747572815,0.3333333333333333,0.0,0.0,0.0,0.0,1.0
2877,0.16279069767441862,0.08051529790660225,0.018454383440231016,0.287833827893175,0.0,0.0,0.0,0.0,0.6666666666666665,0.1825243508144051,0.12820512820512822,0.22480620155038764,0.2857142857142857,0.20926756352765322,0.5,0.07142857142857142,0.0,0.04175365344467641,0.25,0.015540015540015542,0.0,0.8571428571428571,0.4854368932038835,0.3333333333333333,0.0,0.0,0.0,0.0625,7.0
590,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.2222222222222222,0.29239278524513496,0.3589743589743589,0.4093761535622001,0.0,0.2345636426353915,0.2608695652173913,0.3571428571428571,0.375,0.14613778705636743,0.0,0.00023310023310023313,1.0,0.8571428571428571,0.0,0.6666666666666666,0.13636363636363635,0.0,0.13333333333333333,0.1875,3.0
2280,0.0,0.0644122383252818,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.9405819793806048,0.9999999999999999,1.0000000000000002,0.0,0.616304472806715,0.1565217391304348,0.46428571428571425,1.0,0.4384133611691023,1.0,2.3310023310023313e-05,1.0,0.8571428571428571,0.0,0.6666666666666666,0.3181818181818182,0.0,0.13333333333333333,0.375,4.0
1194,0.0,0.01610305958132045,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.3333333333333333,0.2002765520466885,0.7435897435897435,0.8523440383905501,0.14285714285714285,0.5243187305967575,0.1565217391304348,0.46428571428571425,0.75,0.3757828810020877,0.0,0.00023310023310023313,1.0,0.8571428571428571,0.0,0.6666666666666666,0.09090909090909091,0.0,0.0,0.1875,4.0
3011,0.0,0.0644122383252818,0.018402920069761457,0.2753709198813056,0.0,0.0,0.0,0.0,0.1111111111111111,0.5080830469528439,0.43589743589743585,0.5201181247692875,0.09523809523809523,0.31965045417960214,0.26304347826086955,0.3571428571428571,0.3333333333333333,0.3757828810020877,0.0,0.00038850038850038855,0.5,0.7999999999999999,0.0,0.6666666666666666,0.09090909090909091,0.1111111111111111,0.06666666666666667,0.0625,2.0
